raw_description,DRG_34_description
DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA WITH CC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC
PERC CARDIOVASC PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS/STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC,CESAREAN SECTION WITHOUT CC/MCC
CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX WITH MCC OR CHEMO IMPLANT,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT
ESOPHAGITIS GASTROENT AND MISC DIGEST DISORDERS WITHOUT MCC,ESOPHAGITIS GASTROENTERISTIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH MCC,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH MCC
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
PERC CARDIOVASC PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC
SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV 96+ HOURS WITHOUT MCC,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC
PERC CARDIOVASC PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ VES/STENTS,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY,NaN
SEPTICEMIA OR SEVERE SEPSIS WITH MV 96+ HOURS,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV 96+ HOURS WITH MCC,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
HEART FAILURE AND SHOCK WITH MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGEN,HEART FAILURE AND SHOCK WITH MCC
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC
OTHER INJURY POISONING AND TOXIC EFFECT DIAG WITHOUT MCC,OTHER INJURY POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITHOUT CARD CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
FX SPRN STRN AND DISL EXCEPT FEMUR HIP PELVIS AND THIGH WITHOUT MCC,FRACTURE SPRAIN STRAIN AND DISLOCATION EXCEPT FEMUR HIP PELVIS AND THIGH WITHOUT MCC
ALCOHOL/DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC,ALCOHOL DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC
ALCOHOL/DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC,ALCOHOL DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC
PATHOLOGICAL FRACTURES AND MUSCULOSKELET AND CONN TISS MALIG WITH MCC,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS AND COAGUL WITH CC,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIPFOOTFEMUR WITHOUT CC/MCC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITHOUT CC/MCC
ESOPHAGITIS GASTROENT AND MISC DIGEST DISORDERS WITH MCC,ESOPHAGITIS GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HRS,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS
NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR EXT FUS WITH CC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH CC
NUTRITIONAL AND MISC METABOLIC DISORDERS WITHOUT MCC,NaN
SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROCEDURES WITHOUT CC/MCC,SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC
LOCAL EXCISION AND REMOVAL INT FIX DEVICES EXC HIP AND FEMUR WITHOUT CC/MCC,LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC
TRAUMATIC STUPOR AND COMA COMA <1 HR WITH MCC,TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITH MCC
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT 96+ HOURS,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS
TRACH WITH MV 96+ HRS OR PDX EXC FACE MOUTH AND NECK WITHOUT MAJ O.R.,TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE
