DRG	MDC	MS	Description
1	 	P	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC
2	 	P	HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC
3	 	P	ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITH MAJOR O.R. PROCEDURE
4	 	P	TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE
5	 	P	LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
6	 	P	LIVER TRANSPLANT WITHOUT MCC
7	 	P	LUNG TRANSPLANT
8	 	P	SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT
10	 	P	PANCREAS TRANSPLANT
11	 	P	TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH MCC
12	 	P	TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH CC
13	 	P	TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITHOUT CC/MCC
14	 	P	ALLOGENEIC BONE MARROW TRANSPLANT
16	 	P	AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
17	 	P	AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC
20	MDC 01	P	INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH MCC
21	MDC 01	P	INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH CC
22	MDC 01	P	INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT CC/MCC
23	MDC 01	P	CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT
24	MDC 01	P	CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MCC
25	MDC 01	P	CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
26	MDC 01	P	CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
27	MDC 01	P	CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
28	MDC 01	P	SPINAL PROCEDURES WITH MCC
29	MDC 01	P	SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
30	MDC 01	P	SPINAL PROCEDURES WITHOUT CC/MCC
31	MDC 01	P	VENTRICULAR SHUNT PROCEDURES WITH MCC
32	MDC 01	P	VENTRICULAR SHUNT PROCEDURES WITH CC
33	MDC 01	P	VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
34	MDC 01	P	CAROTID ARTERY STENT PROCEDURE WITH MCC
35	MDC 01	P	CAROTID ARTERY STENT PROCEDURE WITH CC
36	MDC 01	P	CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
37	MDC 01	P	EXTRACRANIAL PROCEDURES WITH MCC
38	MDC 01	P	EXTRACRANIAL PROCEDURES WITH CC
39	MDC 01	P	EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
40	MDC 01	P	PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC
41	MDC 01	P	PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR
42	MDC 01	P	PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC
52	MDC 01	M	SPINAL DISORDERS AND INJURIES WITH CC/MCC
53	MDC 01	M	SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC
54	MDC 01	M	NERVOUS SYSTEM NEOPLASMS WITH MCC
55	MDC 01	M	NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
56	MDC 01	M	DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
57	MDC 01	M	DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
58	MDC 01	M	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC
59	MDC 01	M	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC
60	MDC 01	M	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC
61	MDC 01	M	ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MCC
62	MDC 01	M	ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH CC
63	MDC 01	M	ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITHOUT CC/MCC
64	MDC 01	M	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
65	MDC 01	M	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS
66	MDC 01	M	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
67	MDC 01	M	NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC
68	MDC 01	M	NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC
69	MDC 01	M	TRANSIENT ISCHEMIA
70	MDC 01	M	NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
71	MDC 01	M	NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
72	MDC 01	M	NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
73	MDC 01	M	CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC
74	MDC 01	M	CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC
