drg_34_code,label
1,0
2,1
3,2
4,3
5,4
6,5
8,6
10,7
11,8
12,9
13,10
14,11
16,12
17,13
20,14
21,15
22,16
23,17
24,18
25,19
26,20
27,21
28,22
29,23
30,24
31,25
32,26
33,27
34,28
35,29
36,30
37,31
38,32
39,33
40,34
41,35
42,36
52,37
53,38
54,39
55,40
56,41
57,42
58,43
59,44
60,45
61,46
62,47
63,48
64,49
65,50
66,51
67,52
68,53
69,54
70,55
71,56
72,57
73,58
74,59
75,60
76,61
77,62
78,63
79,64
80,65
81,66
82,67
83,68
84,69
85,70
86,71
87,72
88,73
89,74
90,75
91,76
92,77
93,78
94,79
95,80
96,81
97,82
98,83
99,84
100,85
101,86
102,87
103,88
113,89
114,90
115,91
116,92
117,93
121,94
122,95
123,96
124,97
125,98
129,99
130,100
131,101
132,102
133,103
134,104
135,105
136,106
137,107
138,108
139,109
146,110
147,111
148,112
149,113
150,114
151,115
152,116
153,117
154,118
155,119
156,120
157,121
158,122
159,123
163,124
164,125
165,126
166,127
167,128
168,129
175,130
176,131
177,132
178,133
179,134
180,135
181,136
182,137
183,138
184,139
185,140
186,141
187,142
188,143
189,144
190,145
191,146
192,147
193,148
194,149
195,150
196,151
197,152
198,153
199,154
200,155
201,156
202,157
203,158
204,159
205,160
206,161
207,162
208,163
215,164
216,165
217,166
218,167
219,168
220,169
221,170
222,171
223,172
224,173
225,174
226,175
227,176
228,177
229,178
231,179
232,180
233,181
234,182
235,183
236,184
239,185
240,186
241,187
242,188
243,189
244,190
245,191
246,192
247,193
248,194
249,195
250,196
251,197
252,198
253,199
254,200
255,201
256,202
257,203
258,204
259,205
260,206
261,207
262,208
263,209
264,210
265,211
266,212
267,213
268,214
269,215
270,216
271,217
272,218
273,219
274,220
280,221
281,222
282,223
283,224
284,225
285,226
286,227
287,228
288,229
289,230
290,231
291,232
292,233
293,234
294,235
295,236
296,237
297,238
298,239
299,240
300,241
301,242
302,243
303,244
304,245
305,246
306,247
307,248
308,249
309,250
310,251
311,252
312,253
313,254
314,255
315,256
316,257
326,258
327,259
328,260
329,261
330,262
331,263
332,264
333,265
334,266
335,267
336,268
337,269
338,270
339,271
340,272
341,273
342,274
343,275
344,276
345,277
346,278
347,279
348,280
349,281
350,282
351,283
352,284
353,285
354,286
355,287
356,288
357,289
358,290
368,291
369,292
370,293
371,294
372,295
373,296
374,297
375,298
376,299
377,300
378,301
379,302
380,303
381,304
382,305
383,306
384,307
385,308
386,309
387,310
388,311
389,312
390,313
391,314
392,315
393,316
394,317
395,318
405,319
406,320
407,321
408,322
409,323
410,324
411,325
412,326
413,327
414,328
415,329
416,330
417,331
418,332
419,333
420,334
421,335
422,336
423,337
424,338
425,339
432,340
433,341
434,342
435,343
436,344
437,345
438,346
439,347
440,348
441,349
442,350
443,351
444,352
445,353
446,354
453,355
454,356
455,357
456,358
457,359
458,360
459,361
460,362
461,363
462,364
463,365
464,366
465,367
466,368
467,369
468,370
469,371
470,372
471,373
472,374
473,375
474,376
475,377
476,378
477,379
478,380
479,381
480,382
481,383
482,384
483,385
485,386
486,387
487,388
488,389
489,390
492,391
493,392
494,393
495,394
496,395
497,396
498,397
499,398
500,399
501,400
502,401
503,402
504,403
505,404
506,405
507,406
508,407
509,408
510,409
511,410
512,411
513,412
514,413
515,414
516,415
517,416
518,417
